title,rate,desc,tags,url
"js, php, css | wordpress plugin",$29,"Hey.

So i've been modifying ultimate member, to achieve desire look.

I'm nearly close. BUT. I can't manage to customize the last image to be same heigh and react the same way as the other images i made. 

Functions is simple: Click to expand. 

Need last image to expand, and animate the same way as the others.","CSS, HTML, Javascript, PHP, WordPress",https://www.freelancer.com/projects/php/php-css-wordpress-plugin/
Appointment GP centre booking system PHP and SQL,$75,"I need a booking system which has 3 logins. 

All users must be able to login and out 

1. Doctor 
2. Receptionist 
3. Patients 

Patient Requirement...able to amend patients personal details

Contact me if you’ve already got a appointment booking system or built a appointment booking system. 

Designs are not too much as the PHP And SQL source code","HTML, MySQL, PHP, SQL",https://www.freelancer.com/projects/php/appointment-centre-booking-system-php/
customisable alarm clock app -- 2,$316,"it's a multi phase project, but the MVP phase is really quite simple customisable alarm clock app, that needs to work on ios and android.

User has to ...the app will be separate / aditional project, not part of this build, but would be ideal if same person would continue working on it, so the skills required would be html, js, ajax and sql for those.","Android, iPhone, Mobile App Development, Website Design",https://www.freelancer.com/projects/android/customisable-alarm-clock-app-24452220/
bug fix in php website,$460,We need php developer who will support the development of our website and fixing of errors.,"Debugging, HTML, MySQL, PHP",https://www.freelancer.com/projects/php/bug-fix-php-website/
WP plugin Fixed Problem,$26,"I want to customize wordpress plugin and best freelancers.
Who can work for me?
In a short time, your skills: WP Plugin, html5, javascript, php","CSS, HTML, Javascript, PHP, WordPress",https://www.freelancer.com/projects/php/plugin-fixed-problem/
build a proof of concept application,$345,"...proof of concept, before we take the it to the MVP stage.

Specifically we are looking for 2 enthusiastic all-in-one developers with a DIY mindset and proficiency in HTML5, PHP, Java, MySQL, AWS, User Interface Design, Digital Media, working from remote/home office, supporting our startup team.

Interns are most welcomed, if you're in Canada....","Amazon Web Services, HTML5, Java, MySQL, PHP",https://www.freelancer.com/projects/php/build-proof-concept-application/
Required PHP expert,$2197,I need a new website. I need you to design and build a website for my small business. Required same functionality and a layout [login to view URL],"Blog Install, Graphic Design, PHP, Website Design",https://www.freelancer.com/projects/blog-install/required-php-expert/
Need a PHP developer(Full/Part Time),$105,Need a PHP developer(Full/Part Time),"Codeigniter, HTML, MySQL, PHP",https://www.freelancer.com/projects/php/need-php-developer-full-part/
Appointment GP booking system PHP and MYSQL,$341,"I need a booking system which has 3 logins. 

All users must be able to login and out 

1. Doctor 
2. Receptionist 
3. Patients 

Patient Requirement:

- Must be able to register
- Must be able to Login with password and Username 
- Must me able to book appointments with a calendar date and time system
- Must be able to book appointments with selected doctor 
- Must be able to view upcoming appoin...","HTML, MySQL, PHP",https://www.freelancer.com/projects/php/appointment-booking-system-php-mysql/
PSD to wordpress,$311,"Hello, i'm looking for someone who is expert with adobe creative cloud and wordrpesss along with php knowledge, 

looking for someone who has 4 years of expericne at least. i would like to have telephone interview first.

please do send me your resume","HTML, PHP, PSD to HTML, Website Design, WordPress",https://www.freelancer.com/projects/php/psd-wordpress-24450508/
Software Developer Full Timers,$252,"...to work 8 hours a day. You will be paid up-to $250/ month! When you place your bid, please bid what your monthly price is for a full time work (between 30-250)

Language: PHP; JS; jQuery; HTML; Java; CSS3; AngularJS, Angular8
Data Base: MySQL; Postgress
Tools: GitLab; NPM;
Good with: Graphic Design and Web Design -  (PS)

Undertand MCV and Component","Angular.js, HTML5, Java, Javascript, PHP",https://www.freelancer.com/projects/php/software-developer-full-timers/
Customize and reskin my ecommerce android app,$186,"You must be an android developer and have worked on similar projects
you must know php
android 5.0
experience with app feature customization
you must be able to reskin any android app","Android, Mobile App Development, Payment Gateway Integration, PHP, User Interface Design",https://www.freelancer.com/projects/mobile-phone/customize-reskin-ecommerce-android-app/
I need someone to build me a installable ecommerce website php script,$19,"I need a ecommerce php script that i could upload it in cpanel and just extract and it created database automatically  i need shopping cart,admin,dashboard and product showcase

below are some examples 
[login to view URL]","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-someone-build-installable-ecommerce/
Need sms and payment gateway integration,$33,"Hi,

Need SMS and Payment getaway script integration.....all are working fine just need expert integrate these two script when submit the form. Need php Developer who complete now. thanks","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-sms-payment-gateway-integration/
Code me a Website,$567,"...established as a website in Python language and is waiting for its finishing touches. As the second leg of the project, a replicate of a ready-made e-learning script coded with php will be replicated in Python and integrated into the existing site. During and until the end of one month after this process, all responsibilities related to the technical infrastructure","HTML, Javascript, PHP, Python, Software Architecture",https://www.freelancer.com/projects/php/code-website-24449069/
Bana bir web sitesi oluşturun - Code me a website -- 2,$571,"...established as a website in Python language and is waiting for its finishing touches. As the second leg of the project, a replicate of a ready-made e-learning script coded with php will be replicated in Python and integrated into the existing site. During and until the end of one month after this process, all responsibilities related to the technical infrastructure","Django, PHP, Python, SQLite, Website Design",https://www.freelancer.com/projects/django/bana-bir-web-sitesi-olu/
PHP/MySQL Staff Scheduling,$630,"...management interface and a employee interface. 
This will be programmed in PHP/MySQL and uploaded to a server I will provide. 
Please develop and show all progress on my server, and please upload progress daily so we can provide quick feedback. 
If you need special libraries or anything for PHP, you will be given SSH to install what you need. 
All code is expected","Bootstrap, MySQL, PHP",https://www.freelancer.com/projects/php/php-mysql-staff-scheduling/
Make my classified website teplate look www.letgo.com,$574,"I need to edit my template at [login to view URL] to look like template used at [login to view URL]
technologies coder will need to know

php
JS
MySQL
NoSQL
sql",".NET, ASP.NET, Microsoft SQL Server, MongoDB, SQL",https://www.freelancer.com/projects/asp-net/make-classified-website-teplate-look/
Alibaba web hosting project,$25,"I'm looking for developer who has experience in alibaba web hosting.
Now I need to deploy my project.
Project frontend is angular and backend is php and node js.
I already deployed angular and php part.
Only node part remains.

I will provide you SSH and FTP.
Also I want you to work on teamviewer.

If you agree my suggestion, please bid...
I will wait","Angular.js, Express JS, node.js, NoSQL Couch & Mongo, PHP",https://www.freelancer.com/projects/nodejs/alibaba-web-hosting-project/
Seeking a PHP developer to modify a web app,$34,"I need a PHP developer to provide some modifications to a PHP web app - this includes adding a few graphs (using data from a database), adding a login or method of authentication, and various other small things. 

This is for a COVID-19 tracker in my country, already used by tens of thousands and you have the opportunity to help potentially save lives","HTML5, Javascript, PHP, Web Development, Website Design",https://www.freelancer.com/projects/html-five/seeking-php-developer-modify-web/
Hi looking for an app developer to fix and add new feature to my app,$563,"...to fix and add new feature to my app, this is a queue app and running a business for hourly clients. The app itself was developed in 3 ionic framework and site management in php angular js and laravel languages.
Preferably with great experience in the topics and languages ​​I mentioned. It will be a long-term job.
Please read the attached document before","Android, Angular.js, Ionic Framework, Mobile App Development, PHP",https://www.freelancer.com/projects/php/looking-for-app-developer-fix-24446819/
Modification and customization of an on premises Bitrix24 CRM deployment.,$358,"Developer, CRM administrator required for customization, modification and general maintenance of an in-house on premises Bitrix24 CRM deployment.  Extensive understanding of PHP, SQL and scripting is required.  Understanding of CRM, ERP technologies as well as decision making process is an absolute must.  Knowledge of SOAP and REST API's is an asset","CRM, Microsoft SQL Server, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/modification-customization-premises/
Simple 2 hours task in Core PHP.,$2/hr,"I have a simple 2 hours task in Core PHP, you should start right away, and hourly rate is 100 INR (no negotiation). I can't explain the task before we start. if you have good experience, then bid, otherwise dont.",PHP,https://www.freelancer.com/projects/php/simple-hours-task-core-php-24446347/
fix credit report on web application,$33,"i have a web application in core php and the credit report is not working. it show duplicate custmer name and the values are wrong
you need to fix it","Codeigniter, Javascript, MySQL, PHP, Web Development",https://www.freelancer.com/projects/php/fix-credit-report-web-application/
Simple 2 hours task in Core PHP,$46/hr,"I have a simple 2 hours task in Core PHP, you should start right away, and hourly rate is 100 INR (no negotiation). I can't explain the task before we start. if you have good experience, then bid, otherwise dont.",PHP,https://www.freelancer.com/projects/php/simple-hours-task-core-php/
Build php site,$184,"Hi everybody, first of all don't copy and paste your resume, i am looking for the real person who have experience in this kind of project. We have a site which i will probably recreate with different language due to some issues, very first issue i want to discuss is that the product on our competitor site are when searched in google their site with product appears, whereas our site doesn'...","HTML, MySQL, PHP, Website Design, WordPress",https://www.freelancer.com/projects/php/build-php-site-24445865/
Private project or contest #24445607,"",Please Sign Up or Login to see details.,"CRM, CSS, HTML, MySQL, PHP",https://www.freelancer.com/login?goto=MTM1MDE4NzQwNGVmY2E4MzU1MTUwMDgxMTExMWI1MGZodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy9waHAvYnVpbGQtY2Fyd2FzaC1jcm0tYm9va2luZy1zeXN0ZW0v
PHP developer needed for hourly work - should start right away & work whole night today.,$3/hr,"PHP developer needed for hourly work (100 INR per hour, no negotiation)- should start right away and work whole night today , if not, pls dont bid and waste time.",PHP,https://www.freelancer.com/projects/php/php-developer-needed-for-hourly-24445586/
Java / Php  website creator,$170,"I am looking for Java / php developer He is highly skilled in designing applications and websites. 

If you find yourself in the necessary experience, Please send a message.","J2EE, Java, JavaFX, Javascript, Software Architecture",https://www.freelancer.com/projects/j-ee/java-php-website-creator/
PHP developer needed for hourly work - should start right away & work whole night today,$2/hr,"PHP developer needed for hourly work (100 INR per hour, no negotiation)- should start right away and work whole night today , if not, pls dont bid and waste time.",PHP,https://www.freelancer.com/projects/php/php-developer-needed-for-hourly-24445382/
I need to convert MS SQL to MySQL Data Base,$4/hr,Write now Running Website Convert to php,"DotNetNuke, MySQL, PHP, Website Design",https://www.freelancer.com/projects/dotnetnuke/need-convert-sql-mysql-data/
Build php website,$317,"Hello, Required fully php created website and with logo and fully designed website.
thanks","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/build-php-website-24444829/
App Upgrades - Urgent (v2),$755,"App is currently on app stores - Android and Apple (BuddyPhi)

Need some app upgrades/ some new functionalities, and also phpadmin
- Server AWS (EC2)
- Laraval Framework
- PHP Admin (nothing, need backend, build from scratch)

Needed asap, before end of next week Friday 27 March","Android, iPhone, Laravel, Mobile App Development, PHP",https://www.freelancer.com/projects/android/app-upgrades-urgent-24444750/
Take text from shell to php,$21,"Hello
I want take text from shell to php

Can you help me ?

THX","Linux, PHP, Shell Script",https://www.freelancer.com/projects/linux/take-text-from-shell-php/
Need Issue fixation and enhancement in PHP laravel,$98,We have a website in PHP laravel. There are some issues to be fixed and some new enhancement to done. Before assigning the project we will provide the excel sheet of issue and we will need the assessment of hours required to complete those issues.,"HTML, Laravel, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-issue-fixation-enhancement-php/
Required Php Web Developer for CRM Customisatin,$331,Hi We are looking for a php web developer for crm customization our web application. Candidate should have experience to work on complex web applications. This is related to deal management.,"Codeigniter, CRM, HTML, MySQL, PHP",https://www.freelancer.com/projects/php/required-php-web-developer-for/
Professional Services Website Project,$196,"...the time-frame agreed; 

WordPress / Hosted in BlueHost is a pre-requisite and the environment would be provided to the developer;

ALL THE SOURCE FILES (Templates, Themes, PHP, Original Graphics, etc,) DEVELOPED DURING THIS PROJECT WOULD BE DELIVERED BACK TO US and no reuse of the same would be allowed;

TIME FRAME OF EXECUTION: BY END OF APRIL:

Serious","Graphic Design, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/graphic-design/professional-services-website-project/
Doctor GP booking system PHP and MYSQL,$218,"I need a booking system which has 3 logins. 

1. Doctor 
2. Receptionist 
3. Patients 

Patient Requirement:

- Must be able to register
- Must be able to Login with password and Username 
- Must me able to book appointments with a calendar date and time system
- Must be able to book appointments with selected doctor 
- Must be able to view upcoming appointments
- Must be able to cancel appointmen...","HTML, MySQL, PHP",https://www.freelancer.com/projects/php/doctor-booking-system-php-mysql/
Skilled PHP developer,$158,"Hi
We've just opened a SASS company and we are looking to build a SASS platform for our company.
I am open to any tech stacks to build SASS.
We will go with you if you sell us that your solution is the best one.
Thanks","CSS, HTML, Javascript, PHP, Website Design",https://www.freelancer.com/projects/php/skilled-php-developer-24443885/
Help with php & json result,$34,"Hi,
I'll try to explain in a bit i have an script who grab the streamurl from a page but the stream page has 2 - 3 url so what i want is i have made a page with this kind of result [login to view URL]
so instend of have 3 json result like streamurl streamurl2 streamurl3 what i want is to if the page does not retrun any links in streamurl1 its has to get from streamurl2 so in end i will have j...","HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/help-with-php-json-result/
PHP  LARAVEL DEVEOPER,$388,"NEED  A DEVELOPER WHO WILL DEVELOP BACKEND IN PHP LARAVEL.
REQUIREMENT TO DEVELOP THE WHOLE WEBSITE FRONT +  BACKEND BOTH.
HAVING ATLEAST 4+ YEAR OF EXPERIENCE AS A PHP DEVELOPER.
WORK AS A FULL / PART TIME INDIVIDUAL FREELANCER.","HTML, Laravel, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/php-laravel-deveoper/
I need someone to install php mailer for me and ensure that email notifications works,$33,"I need email notifications to be working on my php site, the original developer claims php mailer is the issue that i need to install it.","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-someone-install-php-mailer/
Fix a PHP bugs(Only European and American developer),$33,"Looking for a PHP developer who can fix bugs quickly.
Our website is written in PHP and has a few bugs to be fixed currently.
If you're familiar with PHP, I think it's very easy and simple for you.","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/fix-php-bugs-only-european/
Build a USSD Application,$176,I want a queue management system built for me which uses USSD application. The application will be programmed in PHP and will be interacting with a MySQL database for data storage. We also need to put the menus text in a JSON menus configuration file.,"MySQL, PHP",https://www.freelancer.com/projects/php/build-ussd-application/
PHP Developer required   -- 2,$741,"We are looking php CI developer at our office  Please don't call if you are not able to come at this place 

E-1102 Titanium City Center, Opp Seema Hall, Anand Nagar Road, Prahladnagar, Ahmedabad","Codeigniter, CSS, HTML, Javascript, PHP",https://www.freelancer.com/projects/php/php-developer-required-24442503/
management system,$44,I need employee management system created in php MySQL there should be two types of employees Active and non Active employees there should be option in admin panel to make active employee to non active,"Graphic Design, PHP, Website Design",https://www.freelancer.com/projects/php/management-system-24442424/
React technologies Training,$18/hr,"Training in React Js , Redux, DnD ,Axios, Api. 

Mandatory Prerequisite
Professionals who can demo a react dashboard,  sample chart library ( f..., Redux, DnD ,Axios, Api. 

Mandatory Prerequisite
Professionals who can demo a react dashboard,  sample chart library ( fusion charts  or Zing charts )Postgres and MySQL , php  integration need only apply.","Blog Install, Graphic Design, PHP, Website Design",https://www.freelancer.com/projects/blog-install/react-technologies-training/
PHP API Expert,$140,"Looking someone who can help me to use indian railway api , and integrate in website, any language is okey","HTML, MySQL, PHP, Software Architecture, Website Design",https://www.freelancer.com/projects/php/php-api-expert-24442214/
"Looking for a python flask, scraping expert with math skills",$239,"...developing a system to analyse ppv data and calculate bonus information from DXN.
You need to go to this site and check some pages.
[login to view URL]
Code: 144090436
Password: wedad1971
Please try to login and go to this page: [login to view URL]
Based on scraping these","Python, SQLite, Tensorflow, Web Scraping",https://www.freelancer.com/projects/python/looking-for-python-flask-scraping/
I need some one for integrate stripe payment getaway,$24,I need someone who can add stripe payment getaway for my php website .,"Graphic Design, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/php/need-some-one-for-integrate/
Design & edit 3 php pages + add one more page.,$63,"Design my application which is made of 3 PHP pages and an admin area. 

Simple PHP pages, there is nothing complicated just to add a few buttons and design the colors ...etc.

Change colors and add buttons + add 1 more PHP page with upload picture/video function. 

You must know PHP, MySQL and be able to do a design FAST!","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/design-edit-php-pages-add/
Need PHP developer | As a Freelancer,$805,"The Company Need  PHP Developer.
Work As a Freelancer.
Need to Pass Interview. 
Interested Freelancers Dm.","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-php-developer-freelancer/
I need php developers,$29,Need to build  a laravel php project similar ilke quick books.,"HTML, Laravel, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-php-developers-24440921/
UI & Code changes to existing PHP based website,$112,"Hi, 
I want to change the UI of our website [login to view URL], It will be mostly UI changes & code changes keeping the existing functionality.

Before accepting the project please keep the following points in mind. 
> I can only give you an idea how the website should looks like after the work, you may need to improvise for better output.
> You should not download the website source co...","CSS, Graphic Design, HTML, PHP, Website Design",https://www.freelancer.com/projects/php/code-changes-existing-php-based/
App is Not allowing New User Register,$32,"Whenever I try to create a new account in mobile app, it does not show up or SAVE in the database and throws an 'Alert: Please Select User' error. I am working with PHP and SQL but issue lies in PHP and database issue.

**ONLY APPLY TO JOB IF YOU EXPLAIN HOW THE FIX WILL BE MADE INSIDE THE PROPOSAL! NO GENERIC COPY AND PASTED PROPOSALS PLEASE!!**","HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/app-not-allowing-new-user/
Alibaba web hosting expert,$28,"I have alibaba account and a few days before, I bought alibaba web hosting.
So I have to deploy my project to the server.
Already, I deployed php and angular part.
But I know nothing about node project deploying.

Now I can provide you FTP.
And I have no CPanel.
I think, it is possible to access SSH, but I don't know how to do it.
If anyone has full","Amazon Web Services, HTML, Linux, node.js, PHP",https://www.freelancer.com/projects/amazon-web-services/alibaba-web-hosting-expert/
Build me a website  on php for marketing purposes,$382,"I need a php website for education consultancy  which can be used for marketing, need it to have a search  engine so that university  can be searched on it, need the content to be unique when we put the university name. Need 5-6 static pages such as contact info about us, etc. 
Please visit si uk.(Google it) website to get an idea about the requirement","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/build-website-php-for-marketing/
php  ( CI) developer,$20,"Need a good php developer.
Searching issue in CI website.

More info in chat.
Thanks","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/php-developer-24440022/
Senior Laravel / Vue.js Developer - Full-Stack Experience Required,$11/hr,"I'm looking for a Senior PHP/Laravel developer to develop and maintain few web apps, mostly Laravel and Vue based.

Note this is for a Senior level role, so you must have in-depth knowledge of Laravel's architecture.

Must have skills
- Extensive experience with Laravel (2 years+ full time)
- Expert level skills in PHP (4 years+)
- SASS/Webpack/Vue","Laravel, PHP, Vue.js",https://www.freelancer.com/projects/laravel/senior-laravel-vue-developer-full/
Paytm Payment Gateway integration in Web,$56,"Hi,
    I want to integrate Paytm Payment gateway on website which developed in php Codeigniter framework.","Codeigniter, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/paytm-payment-gateway-integration-web/
Janpa Site Enhancement,$118,"php Developer,sql,html developer","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/janpa-site-enhancement/
Build SOAP To Connect PHP/MySQL to QB Web Connector,$488,We currently have a php/mysql online ordering system that we need to sync with QB web connector so that our desktop version of quickbooks get automatically updated.   We will need to build a SOAP to connect the php/mysql program with the QB web connector.  We will also need a log to see what events occurred during the sync.  We will need to sync the,"Intuit QuickBooks, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/intuit-quickbooks/build-soap-connect-php-mysql/
Add a AR feature to my php and HTML built website,$130,"Hello

I want to have an argumented reality on this  [login to view URL] like the one on [login to view URL]
For 150 wood floor samples in their own room scene. 

So you can actually take a picture using your phone of your own room and the screen will load up an image of the floor color in your very own room scene. If this is completed and payed for I have another related project for a friend","Augmented Reality, HTML, PHP, Website Design",https://www.freelancer.com/projects/php/add-feature-php-html-built/
Recode and clean up FlowPlayer video player page,$164,"...and convert it to responsive. The current code is old and users report frequent issues. The page design and layout will remain as close to current as possible with all code (PHP, HTML, FlowPlayer etc) brought up to current standards and ensuring it works correctly across all devices and browsers. FlowPlayer experience is preferable.

This project contains","CSS, HTML, HTML5, Javascript, PHP",https://www.freelancer.com/projects/php/recode-clean-flowplayer-video-player/
Build me a Website,$1560,"I want to redesign sites [login to view URL] [login to view URL] [login to view URL] [login to view URL] with PHP MySql, and database. Those who can do it in 1 month could apply.","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/build-website-24436747/
Magento and PHP customization for Magento website,$468,"This project requires developer(s) with Magento 2 and PHP expertise and an understanding of  Magento V2 multi-vendor ecommerce.

MUST: Send links to at least one Magento project.  Must be able to complete all milestones within allotted time. MUST have great attention to detail. Must report updates daily at the end of day. 

The requirement is to customize","HTML5, Javascript, Magento 2, MySQL, PHP",https://www.freelancer.com/projects/magento-two/magento-php-customization-for-magento/
laravel routes fix from an ajax request,$6/hr,Need a routes fix for an ajax request from my laravel app.,"HTML, Laravel, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/laravel/laravel-routes-fix-from-ajax/
Create workout files in .fit format using PHP -- 2,$19/hr,"I'm working on an online endurance sports training platform for cycling/ running/ triathlon. I have workouts in an xml format (e.g. warm up at 50% pace for 10mins, then 1min at 100% pace, then 2 mins recovery at 50%, repeat 5 times, then cool down 50% pace). I'd like to take these workouts and create .fit files that users could use on their Garmin (or similar) to do the workout. New work...","PHP, XML",https://www.freelancer.com/projects/xml/create-workout-files-fit-format/
Need Custom PHP Edit,$112,"ONLY APPLY IF YOU'RE AN EXPERT AT PHP

We need the PHP Custom Platform fixed

Then We have built a system using HUGE raw PHP language. This system is our platform with functionalities. The system consists of two account levels. user admin backend and a user student backend.

These changes are quick and simple

Attached is the list of changes. It's VERY","HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/need-custom-php-edit/
Social Media Management Software,$4382,"Hello, 

I want a social media management software like [login to view URL], it must be saas. 
Programming language  php, node.js. front-end vue.js react.js etc. 

Thanks","Angular.js, Javascript, node.js, PHP, Software Architecture",https://www.freelancer.com/projects/nodejs/social-media-management-software/
I need help installing a php app for a website.,$20,I need help on how to install [login to view URL] to make a website with it.,"HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-help-installing-php-app/
PHP Development,$13/hr,"Looking for a PHP expert to take over a project that implements a caching system and runs using the gearman framework. The previous developer has left the project unfinished, so we need to have it resurrected. Mysql DB and php 7.2. Complete details available once skills are verified.

No front end needed at this time. All back end coding. Heavy use","HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/php-development-24433751/
Edit/design classified website,$79,"I have website to edit to add some features. If you have similar experience to use php and some database, please reply me.","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/edit-design-classified-website/
Need Auction website PHP Script,$160,"hi,
if you have ready made auction php script, show me a demo, and gime me feature list along with your asking price.","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/need-auction-website-php-script/
"Nee a developer who work with JavaScript, PHP, HTML/CSS.",$23,I have an issue with Namecheap server back up restorations - i lost my data and the site look has changed - now want to see the previous look. Thanks,"CSS, HTML, Javascript, PHP, Website Design",https://www.freelancer.com/projects/php/nee-developer-who-work-with/
Redesign current website.,$1099,"I have a website (tours packages) designed and coded by PHP/Laravel, I want
1-  to change the website design to be more attractive, amazing and dynamic, also, the dashboard to be more realistic and as more graphic and charts. (after agreed on the design), 
2- Working on programming the new design in the dashboard and others changes required. 
3- If","Graphic Design, HTML, Laravel, PHP, Website Design",https://www.freelancer.com/projects/php/redesign-current-website-24324408/
CRUD App - Part 2,$37,"Create 3 pages.

We are looking for a full stack developer, to create the pages base on are details that we will provide in chat. 

You will use bootstrap, pdo and ajax. You will create the pages from scratch base on are images and details. navbar, container, etc.

page one:
it has 4 TABS panel.
i) form style => update modal
ii) datatable => add modal","AJAX, Bootstrap, HTML5, MySQL, PHP",https://www.freelancer.com/projects/mysql/crud-app-part-24432637/
Add a function in exciting php code,$23,I have Php code and it works perfectly. But i want to add few more function. i.e. search bar and change status. Php code is for Inventory Management system.,"HTML, Javascript, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/add-function-exciting-php-code/
agnet/website carection 2 -- 8,$9/hr,"I want website correction as for [login to view URL] and [login to view URL], mobile and desktop version and som development in the PHP worklist
Some work
[login to view URL] image
2. email template 
[login to view URL] function website in in website in in Hindi
4. Facebook login and secret ID and [login to view URL] profile review
6. astrologer","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/html/agnet-website-carection-24432137/
"Clothing store: simple web, App and management tool",$513,"...(Android + Ios) with public area (customers) and private area (management)
	2 Facebook site
	3) Basic Web
	... all three (1, 2, 3) connected in backend to a MySql databank using PHP

Provided solution will be developed in these phases and in this order:

Phase 1) management App (Android + Ios) within 2 weeks:
The shop will use a mobile phone with Android","Facebook Product Catalog, Laravel, Magento, Mobile App Development, Website Design",https://www.freelancer.com/projects/facebook-product-catalog/clothing-store-simple-web-app/
Mult-Vendor Shopify API Development,$18/hr,"...adding several other vendors in the very near future. I hired a coder from a different site previously, but the language barrier and their quality of work was subpar. I have the php scripts that they coded as a starting point or examples for whoever takes the job.

Goal: Since I have thousands of products and intend on bringing even more vendors and products","HTML, Javascript, PHP, Shopify, Website Design",https://www.freelancer.com/projects/php/mult-vendor-shopify-api-development/
magento2 error,$29,"after having the statistical files generated, with the command below

php -ea_php 71 -d memory_limit = -1 bin / magento setup: static-content: deploy -f en_US en_US

he gives the error below

Deploy using quick strategy
frontend / Magento / blank / en_BR 3013/3013 ============================ 100%% 1 sec
adminhtml / Magento / backend / en_BR 2888/2888","CSS, HTML, Javascript, Magento, PHP",https://www.freelancer.com/projects/magento/magento-error-24431442/
create notifications loop for my wowonder site,$29,Need a notifications loop fixed up so it functions on the site. Also need the ajax page load fixed for the page. This is a simple task for anyone who knows php/ajax. Only bid your cost. Do NOT ask for budget.,"AJAX, Javascript, jQuery / Prototype, MySQL, PHP",https://www.freelancer.com/projects/php/create-notifications-loop-for-wowonder/
Develop My Website,$117,"This is an online Social Blogging forum! built on PHP [login to view URL]!
[login to view URL]

Please check the Website throughly and then Quote!

You may have to complete the front end and built an admin panel as well!

You may have to design and develop in ci!
so knowledge in CI , web designing and Photoshop is  prerequisite!","Codeigniter, Graphic Design, HTML, PHP, Website Design",https://www.freelancer.com/projects/php/develop-website-24431323/
agnet/website carection 2 -- 7,$4/hr,"I want website correction as for [login to view URL] and [login to view URL], mobile and desktop version and som development in the PHP worklist
Some work
[login to view URL] image
2. email template 
[login to view URL] function website in in website in in Hindi
4. Facebook login and secret ID and [login to view URL] profile review
6. astrologer","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/html/agnet-website-carection-24431183/
C script to PHP conversion,$47,"hi , i need to convert from C language to PHP language script.
the C Script it's on github : 
[login to view URL]

i don't need all methods in script. 
contact me fo information.","C Programming, PHP",https://www.freelancer.com/projects/php/script-php-conversion/
Mult-Vendor Shopify API Development,$18/hr,"...adding several other vendors in the very near future. I hired a coder from a different site previously, but the language barrier and their quality of work was subpar. I have the php scripts that they coded as a starting point or examples for whoever takes the job.

Goal: Since I have thousands of products and intend on bringing even more vendors and products","HTML, Javascript, PHP, Shopify, Website Design",https://www.freelancer.com/projects/php/mult-vendor-shopify-api-development/
magento2 error,$29,"after having the statistical files generated, with the command below

php -ea_php 71 -d memory_limit = -1 bin / magento setup: static-content: deploy -f en_US en_US

he gives the error below

Deploy using quick strategy
frontend / Magento / blank / en_BR 3013/3013 ============================ 100%% 1 sec
adminhtml / Magento / backend / en_BR 2888/2888","CSS, HTML, Javascript, Magento, PHP",https://www.freelancer.com/projects/magento/magento-error-24431442/
create notifications loop for my wowonder site,$29,Need a notifications loop fixed up so it functions on the site. Also need the ajax page load fixed for the page. This is a simple task for anyone who knows php/ajax. Only bid your cost. Do NOT ask for budget.,"AJAX, Javascript, jQuery / Prototype, MySQL, PHP",https://www.freelancer.com/projects/php/create-notifications-loop-for-wowonder/
