title,posted,rate,proposals,url
Re-write my letter in a professional style,4 weeks ago,$70,21,https://www.peopleperhour.com/freelance-jobs/marketing-pr/email-marketing/re-write-my-letter-in-a-professional-style-2727930
Programmer Needed to Write Articles & Tutorials,3 weeks ago,$15/hr,22,https://www.peopleperhour.com/freelance-jobs/software-development/general-programming/programmer-needed-to-write-articles-tutorials-2733243
Writing a paper for a Mental Health charity,3 weeks ago,$70,22,https://www.peopleperhour.com/freelance-jobs/writing/other/writing-a-paper-for-a-mental-health-charity-2733214
Project on STM32F401RE (SIMPLE ),3 weeks ago,$20,5,https://www.peopleperhour.com/freelance-jobs/software-development/general-programming/project-on-stm32f401re-simple-2734563
Technical Content Writing for a New Website (Engg & Proj Mgmt),2 weeks ago,$30/hr,40,https://www.peopleperhour.com/freelance-jobs/writing/website-content/technical-content-writing-for-a-new-website-engg-proj-mgm-2742639
Prop design/PRODUCTION,4 days ago,$$,12,https://www.peopleperhour.com/freelance-jobs/creative-arts/crafts/prop-design-production-2752521
Editable Booking Form,2 weeks ago,$12,10,https://www.peopleperhour.com/freelance-jobs/design/brochure-flyer-leaflet/editable-booking-form-2745520
I need a blockchain developer,6 hours ago,$10,2,https://www.peopleperhour.com/freelance-jobs/web-development/other/i-need-a-blockchain-developer-2762027
Promo Vid for Magazine launch,3 days ago,$30,11,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/video-production/promo-vid-for-magazine-launch-2758367
Calligraphy,2 weeks ago,$40,18,https://www.peopleperhour.com/freelance-jobs/creative-arts/other/calligraphy-2745876
Article rewrite for Resound Hearing Aids,3 days ago,$24,9,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/article-rewrite-for-resound-hearing-aids-2754307
3D chocolate bar design - ready for 3D prototype printing,4 hours ago,$119,23,https://www.peopleperhour.com/freelance-jobs/design/3d-design/3d-chocolate-bar-design-ready-for-3d-prototype-printing-2762246
Writer who can write high-quality articles,4 weeks ago,$400,35,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/writer-who-can-write-high-quality-articles-2731626
Photoshopping of words from one pdf to another,6 days ago,$30,32,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/photo-retouching-editing/photoshopping-of-words-from-one-pdf-to-another-2756255
Looking for a horror/thriller short story.,2 weeks ago,$100,9,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/looking-for-a-horror-thriller-short-story-2748385
Ghost writer for 2 books,1 week ago,$593,22,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/ghost-writer-for-2-books-2749843
Request connections for me on my LinkedIn account,2 days ago,$7,16,https://www.peopleperhour.com/freelance-jobs/social-media/linkedin/request-connections-for-me-on-my-linkedin-account-2760449
Article writer to write 8 articles about a fashion company,3 weeks ago,$119,56,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/article-writer-to-write-8-articles-about-a-fashion-company-2740564
Writing a Cruise Ship Employees Guide  (approx 200 pages),3 weeks ago,$890,9,https://www.peopleperhour.com/freelance-jobs/writing/e-book/writing-a-cruise-ship-employees-guide-approx-200-pages-2739944
WordPress Developer for Articles Data Entry,8 hours ago,$$$,22,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/wordpress-developer-for-articles-data-entry-2761901
Articles Data Entry,9 hours ago,$$$,56,https://www.peopleperhour.com/freelance-jobs/admin/data-entry/articles-data-entry-2761900
I need a design led E-newsletter By thursday,2 weeks ago,$71,43,https://www.peopleperhour.com/freelance-jobs/design/email-newsletter/i-need-a-design-led-e-newsletter-by-thursday-2741702
Web developer needed long term for ongoing site maintenance,1 week ago,$178,15,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/web-developer-needed-long-term-for-ongoing-site-maintenance-2752218
Social Media Management,1 week ago,$$,49,https://www.peopleperhour.com/freelance-jobs/social-media/other/social-media-management-2752378
"Marketing- brand strategy, celeb reach out, press",2 weeks ago,$237,14,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/marketing-brand-strategy-celeb-reach-out-press-2749150
Finance blog content writer using WordPress,2 weeks ago,$9/hr,20,https://www.peopleperhour.com/freelance-jobs/writing/website-content/finance-blog-content-writer-using-wordpress-2749601
Book marketing expert,3 weeks ago,$10,10,https://www.peopleperhour.com/freelance-jobs/writing/e-book/book-marketing-expert-2738089
Function for parsing a file and Issue fix (Java),1 day ago,$30,20,https://www.peopleperhour.com/freelance-jobs/software-development/java-programming/function-for-parsing-a-file-and-issue-fix-java-2761168
Chinese translator while live streaming,1 week ago,$18/hr,4,https://www.peopleperhour.com/freelance-jobs/translation/chinese-mandarin-simplified/chinese-translator-while-live-streaming-2753955
Write a company profile for general contracting,4 weeks ago,$$,5,https://www.peopleperhour.com/freelance-jobs/admin/presentations/write-a-company-profile-for-general-contracting-2726661
Need to Create a Sports Website Like Dream11 / Halaplay,5 days ago,$50,8,https://www.peopleperhour.com/freelance-jobs/web-development/custom-website/need-to-create-a-sports-website-like-dream11-halaplay-2757256
Google Adwords - Advert Writer - Charitable Clothing Collection,2 weeks ago,$170,29,https://www.peopleperhour.com/freelance-jobs/search-marketing/google-adwords/google-adwords-advert-writer-charitable-clothing-collect-2741740
I need excellent writers who is falimar with tech,1 week ago,$50,42,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/i-need-excellent-writers-who-is-falimar-with-tech-2749831
Hiring Equity Research Analysts,1 week ago,$115,13,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/hiring-equity-research-analysts-2751457
CV writing / Linked in profile and covering letter -- Aviation,3 weeks ago,$119,26,https://www.peopleperhour.com/freelance-jobs/writing/cv-cover-letter/cv-writing-linked-in-profile-and-covering-letter-aviati-2738284
Japanese translator while live streaming,1 week ago,$18/hr,3,https://www.peopleperhour.com/freelance-jobs/translation/japanese/japanese-translator-while-live-streaming-2754023
SEO Titles re-writing for Adult Niche Site,3 weeks ago,$30,28,https://www.peopleperhour.com/freelance-jobs/writing/other/seo-titles-re-writing-for-adult-niche-site-2732374
I need an open-minded experienced Kotlin developer to code.,2 weeks ago,$$,7,https://www.peopleperhour.com/freelance-jobs/writing/website-content/i-need-an-open-minded-experienced-kotlin-developer-to-code-2748225
Blog Posting for PA Attorney Website,2 weeks ago,$200,10,https://www.peopleperhour.com/freelance-jobs/social-media/community-management/blog-posting-for-pa-attorney-website-2748760
Content / Blog Writer for a Real Estate Firm,2 weeks ago,$$,21,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/content-blog-writer-for-a-real-estate-firm-2746823
"Create PR press release for mynewsdesk, cision and buffer.com",2 weeks ago,$474,7,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-media-relations/create-pr-press-release-for-mynewsdesk-cision-and-buffer-co-2747469
Need Excellent Content Writer To Write A News Blog,4 weeks ago,$70,27,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/need-excellent-content-writer-to-write-a-news-blog-2731293
Writer with good working knowledge of SEO & Google Ads,2 days ago,$77,24,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/writer-with-good-working-knowledge-of-seo-google-ads-2759685
Instagram and Facebook Ads,3 weeks ago,$130,58,https://www.peopleperhour.com/freelance-jobs/social-media/facebook/instagram-and-facebook-ads-2735695
Information/welcome pack,2 weeks ago,$59,20,https://www.peopleperhour.com/freelance-jobs/design/brochure-flyer-leaflet/information-welcome-pack-2741254
"Content writer with knowledge of Human Rights, Tech & Ethics",1 week ago,$27/hr,18,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/content-writer-with-knowledge-of-human-rights-tech-ethics-2754781
I need an Artist to create me an old style Magic Poster,3 weeks ago,$104,22,https://www.peopleperhour.com/freelance-jobs/creative-arts/caricatures/i-need-an-artist-to-create-me-an-old-style-magic-poster-2738827
Ongoing copywriting/blog posts 4-500 words,2 weeks ago,$18,47,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/ongoing-copywriting-blog-posts-4-500-words-2744749
"Content writing, proof spelling, customer service",4 weeks ago,$$,15,https://www.peopleperhour.com/freelance-jobs/social-media/social-media-strategy/content-writing-proof-spelling-customer-service-2730542
Computer Vision Expert for GAN and Image Segmentation,5 hours ago,$500,5,https://www.peopleperhour.com/freelance-jobs/software-development/other/computer-vision-expert-for-gan-and-image-segmentation-2762124
Denmark/professional business researcher,1 week ago,$100,4,https://www.peopleperhour.com/freelance-jobs/business-support/market-research/denmark-professional-business-researcher-2753766
MMO Kotlin Based Game Server needs content developed,1 week ago,$33/hr,7,https://www.peopleperhour.com/freelance-jobs/software-development/game-development/mmo-kotlin-based-game-server-needs-content-developed-2752226
Govt Project to design a pre -tender proposal document,3 weeks ago,$$,7,https://www.peopleperhour.com/freelance-jobs/writing/other/govt-project-to-design-a-pre-tender-proposal-document-2739428
Well Written Legal Letter of Appeal Required,2 weeks ago,$30,15,https://www.peopleperhour.com/freelance-jobs/writing/letter/well-written-legal-letter-of-appeal-required-2744354
"Social Media Mngr, Social Media Mktg & Strategy, content writer",9 hours ago,$164,32,https://www.peopleperhour.com/freelance-jobs/social-media/social-media-strategy/social-media-mngr-social-media-mktg-strategy-content-wri-2761838
Map drawing,3 weeks ago,$$,27,https://www.peopleperhour.com/freelance-jobs/design/other/map-drawing-2739234
Tech Pack,3 weeks ago,$142,21,https://www.peopleperhour.com/freelance-jobs/design/t-shirt-clothing/tech-pack-2737718
Sweden/Professional business researcher,1 week ago,$109,6,https://www.peopleperhour.com/freelance-jobs/business-support/other/sweden-professional-business-researcher-2753758
Norway/professional business researcher,1 week ago,$100,3,https://www.peopleperhour.com/freelance-jobs/business-support/market-research/norway-professional-business-researcher-2753765
Finland/professional business researcher,1 week ago,$185,3,https://www.peopleperhour.com/freelance-jobs/business-support/market-research/finland-professional-business-researcher-2753769
Digital marketing for SME,7 days ago,$352,48,https://www.peopleperhour.com/freelance-jobs/social-media/social-media-strategy/digital-marketing-for-sme-2755096
Need a guest poster in travel and food blogs high DA,2 weeks ago,$221,20,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-media-relations/need-a-guest-poster-in-travel-and-food-blogs-high-da-2742932
NBA Writer,1 day ago,$500,9,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/nba-writer-2761194
Telemarking for recruitment,6 days ago,$190,17,https://www.peopleperhour.com/freelance-jobs/marketing-pr/telemarketing/telemarking-for-recruitment-2756386
Searching for testers regarding a betting forum,2 weeks ago,$8,3,https://www.peopleperhour.com/freelance-jobs/writing/website-content/searching-for-testers-regarding-a-betting-forum-2743716
Content writer required,2 weeks ago,$,23,https://www.peopleperhour.com/freelance-jobs/writing/product-description-review/content-writer-required-2744235
Charity setup,2 weeks ago,$$,13,https://www.peopleperhour.com/freelance-jobs/writing/website-content/charity-setup-2745228
Branding & Communication Strategy/Design for Tech Business,3 weeks ago,$2.3k,30,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/branding-communication-strategy-design-for-tech-business-2735417
Create API for BLE device using ML.NE,5 days ago,$1.0k,13,https://www.peopleperhour.com/freelance-jobs/software-development/net/create-api-for-ble-device-using-ml-ne-2756638
2500 words - Articles Southern Spain - Local Writer,2 weeks ago,$55,20,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/2500-words-articles-southern-spain-local-writer-2741306
I want to create a physical product prototype,1 week ago,$$,5,https://www.peopleperhour.com/freelance-jobs/design/other/i-want-to-create-a-physical-product-prototype-2749800
Necesito una página web hecha en wordpress.,4 days ago,$143,12,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/necesito-una-p%C3%A1gina-web-hecha-en-wordpress-2757765
Looking for an expert meanstack developer.,1 week ago,$200,11,https://www.peopleperhour.com/freelance-jobs/web-development/other/looking-for-an-expert-meanstack-developer-2754391
I need an illustrator to create me an old style Magic Poster,3 weeks ago,$104,49,https://www.peopleperhour.com/freelance-jobs/design/illustration-graphics/i-need-an-illustrator-to-create-me-an-old-style-magic-poster-2735757
Wordpress Header/ Banner/ Hero Carousel Needed - UK Only Please,2 days ago,$119,17,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/wordpress-header-banner-hero-carousel-needed-uk-only-ple-2759601
Discribe projects for portfolio,1 week ago,$31/hr,13,https://www.peopleperhour.com/freelance-jobs/writing/website-content/discribe-projects-for-portfolio-2749670
German Text writer - SEO friendly,6 days ago,$547,9,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/german-text-writer-seo-friendly-2755479
Create API for my BLE device using ML.NET,6 days ago,$1.0k,12,https://www.peopleperhour.com/freelance-jobs/software-development/net/create-api-for-my-ble-device-using-ml-net-2755461
DESARROLLADOR IONIC,1 week ago,$32/hr,10,https://www.peopleperhour.com/freelance-jobs/software-development/application-development/desarrollador-ionic-2754292
Looking for people who can guest post on these websites,3 weeks ago,$210,17,https://www.peopleperhour.com/freelance-jobs/search-marketing/link-building/looking-for-people-who-can-guest-post-on-these-websites-2736885
Create artwork for labels to be printed onto a pouch of tea,2 weeks ago,$119,52,https://www.peopleperhour.com/freelance-jobs/design/label-packaging/create-artwork-for-labels-to-be-printed-onto-a-pouch-of-tea-2747161
Sales Copywriter,3 days ago,$130,28,https://www.peopleperhour.com/freelance-jobs/writing/website-content/sales-copywriter-2758995
Creative Copywriter,3 weeks ago,$237,57,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/creative-copywriter-2735358
SEO Expert to give detail to do list before and after posting,3 weeks ago,$60,15,https://www.peopleperhour.com/freelance-jobs/search-marketing/seo-training/seo-expert-to-give-detail-to-do-list-before-and-after-postin-2734575
Guest Post bustle.com marthastewart.com apartmenttherapy.com,4 days ago,$500,10,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/guest-post-bustle-com-marthastewart-com-apartmenttherapy-com-2758095
"Camping, glamping, holiday parks, outdoor enthusiast blogger",2 weeks ago,$27/hr,29,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/camping-glamping-holiday-parks-outdoor-enthusiast-blogger-2749556
I need someone to develop an app,5 days ago,$100,12,https://www.peopleperhour.com/freelance-jobs/mobile/android-app/i-need-someone-to-develop-an-app-2756686
Web developer for online Wills and Powers of Attorney,4 days ago,$1.1k,24,https://www.peopleperhour.com/freelance-jobs/web-development/other/web-developer-for-online-wills-and-powers-of-attorney-2757392
EA for MT4 to trade using AutoTrader from Stockdeveloper.in,5 days ago,$100,4,https://www.peopleperhour.com/freelance-jobs/software-development/other/ea-for-mt4-to-trade-using-autotrader-from-stockdeveloper-in-2756605
Animated web banner,1 week ago,$119,26,https://www.peopleperhour.com/freelance-jobs/design/illustration-graphics/animated-web-banner-2753468
Need native german copywriter for two short articles,3 weeks ago,$50,7,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/need-native-german-copywriter-for-two-short-articles-2736320
Looking For Article or Product description and Review Writer,3 weeks ago,$500,21,https://www.peopleperhour.com/freelance-jobs/writing/product-description-review/looking-for-article-or-product-description-and-review-writer-2740896
Meridio Records Management Migration to SharePoint,6 days ago,$326,11,https://www.peopleperhour.com/freelance-jobs/software-development/other/meridio-records-management-migration-to-sharepoint-2755771
I need a 28 page brochure designing,3 weeks ago,$71,28,https://www.peopleperhour.com/freelance-jobs/design/book-magazine/i-need-a-28-page-brochure-designing-2736429
Build CADworx prj spec,3 weeks ago,$30,11,https://www.peopleperhour.com/freelance-jobs/design/3d-design/build-cadworx-prj-spec-2736286
"Need an Amazing, Fluent English Speaker to Help With Emails",4 weeks ago,$20/hr,48,https://www.peopleperhour.com/freelance-jobs/business-support/business-development/need-an-amazing-fluent-english-speaker-to-help-with-emails-2728135
Need android java plugin to return OTG USB storage path,2 weeks ago,$25,6,https://www.peopleperhour.com/freelance-jobs/software-development/other/need-android-java-plugin-to-return-otg-usb-storage-path-2745133
Article Writer Needed Emergency,3 weeks ago,$500,84,https://www.peopleperhour.com/freelance-jobs/writing/website-content/article-writer-needed-emergency-2735150
Create .NET CORE 3.1 ML.NET API,1 week ago,$1.0k,19,https://www.peopleperhour.com/freelance-jobs/software-development/net/create-net-core-3-1-ml-net-api-2753039
Junior Editor,4 days ago,$,37,https://www.peopleperhour.com/freelance-jobs/writing/editing-proofreading/junior-editor-2756857
I need a support for my Android App  using EDA60K and a IP30C,2 weeks ago,$26/hr,11,https://www.peopleperhour.com/freelance-jobs/mobile/android-app/i-need-a-support-for-my-android-app-using-eda60k-and-a-ip30-2747386
Moodle upgrade,4 weeks ago,$95,18,https://www.peopleperhour.com/freelance-jobs/software-development/server-system-administration/moodle-upgrade-2731589
THINKIFIC ONLINE COURSE - LONG TERM ( MORE THAN 10 COURSES),4 days ago,$8/hr,12,https://www.peopleperhour.com/freelance-jobs/tutorials/design/thinkific-online-course-long-term-more-than-10-courses-2758066
Branding/Graphics work,3 weeks ago,$42,16,https://www.peopleperhour.com/freelance-jobs/design/illustration-graphics/branding-graphics-work-2740130
Digital Marketing Writer,6 days ago,$40/hr,42,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/digital-marketing-writer-2756083
"Write up a business plan, with 3 years financial forecast",4 weeks ago,$148,34,https://www.peopleperhour.com/freelance-jobs/business-support/business-plan/write-up-a-business-plan-with-3-years-financial-forecast-2728829
Youtube Video Script writer,3 weeks ago,$30,16,https://www.peopleperhour.com/freelance-jobs/writing/screen-script-writing/youtube-video-script-writer-2736658
NuxtJS (VueJs) Website Browser Bug Fixes,1 week ago,$36/hr,10,https://www.peopleperhour.com/freelance-jobs/web-development/other/nuxtjs-vuejs-website-browser-bug-fixes-2753342
I require a screenwriter to format my screenplay. (15 scenes),2 weeks ago,$71,25,https://www.peopleperhour.com/freelance-jobs/writing/other/i-require-a-screenwriter-to-format-my-screenplay-15-scenes-2743829
Implement a simple image filter function,4 days ago,$150,14,https://www.peopleperhour.com/freelance-jobs/software-development/visual-basic/implement-a-simple-image-filter-function-2757462
I'm looking for an article writer.,2 weeks ago,$1.2k,43,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/i-m-looking-for-an-article-writer-2743540
Basic sewing project UK,1 week ago,$$,17,https://www.peopleperhour.com/freelance-jobs/creative-arts/other/basic-sewing-project-uk-2751444
Copywriter to write blogs & campaigns to support a CRM product,4 weeks ago,$107,20,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/copywriter-to-write-blogs-campaigns-to-support-a-crm-produ-2727501
Gatsby Project,1 week ago,$$,15,https://www.peopleperhour.com/freelance-jobs/web-development/other/gatsby-project-2749719
Weekly blogger,2 weeks ago,$104,58,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/weekly-blogger-2742648
Building Estimator Required (on-site and remote work),3 days ago,$47/hr,14,https://www.peopleperhour.com/freelance-jobs/business-support/consulting/building-estimator-required-on-site-and-remote-work-2758821
Technology/Investing Article,2 weeks ago,$59,15,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/technology-investing-article-2745907
Assistant for Published Author,2 weeks ago,$15/hr,18,https://www.peopleperhour.com/freelance-jobs/admin/virtual-assistance/assistant-for-published-author-2744220
Project management proposal,2 weeks ago,$89,18,https://www.peopleperhour.com/freelance-jobs/admin/presentations/project-management-proposal-2741442
Employee advocacy program for social media marketing,1 week ago,$200,6,https://www.peopleperhour.com/freelance-jobs/social-media/social-media-strategy/employee-advocacy-program-for-social-media-marketing-2751251
Marketing student wanted.... Creating 4 fact sheets in CANVA,3 weeks ago,$71,10,https://www.peopleperhour.com/freelance-jobs/marketing-pr/general-communications/marketing-student-wanted-creating-4-fact-sheets-in-canva-2736977
Articles for our UK property market insights section.,3 weeks ago,$26,13,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/articles-for-our-uk-property-market-insights-section-2736953
Affiliate content written for a UK mattress review site,34 minutes ago,$107,6,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/affiliate-content-written-for-a-uk-mattress-review-site-2762511
I need a content writer for my website,2 weeks ago,$104,21,https://www.peopleperhour.com/freelance-jobs/writing/website-content/i-need-a-content-writer-for-my-website-2742801
Digital Marketing Plan for my NCLEX-RN/LPN  review courses,3 weeks ago,$156,13,https://www.peopleperhour.com/freelance-jobs/social-media/facebook/digital-marketing-plan-for-my-nclex-rn-lpn-review-courses-2739871
Advise me on the steps to accomplish using the Cisco Meraki API,3 weeks ago,$30,5,https://www.peopleperhour.com/freelance-jobs/web-development/javascript-jquery-ajax/advise-me-on-the-steps-to-accomplish-using-the-cisco-meraki-2741038
Employment Law Letters - Republic of Ireland,2 weeks ago,$27/hr,4,https://www.peopleperhour.com/freelance-jobs/business-support/recruitment-hr/employment-law-letters-republic-of-ireland-2747586
Whitepaper Graphic Design + assets for promotion,1 day ago,$119,18,https://www.peopleperhour.com/freelance-jobs/design/brochure-flyer-leaflet/whitepaper-graphic-design-assets-for-promotion-2755676
Custom plugin for my word press website,6 days ago,$250,33,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/custom-plugin-for-my-word-press-website-2755357
English native speaker for skype calls as a ghost speaker,1 day ago,$50,11,https://www.peopleperhour.com/freelance-jobs/admin/virtual-assistance/english-native-speaker-for-skype-calls-as-a-ghost-speaker-2760651
Content for the website with Drupal services,3 weeks ago,$250,15,https://www.peopleperhour.com/freelance-jobs/writing/website-content/content-for-the-website-with-drupal-services-2737256
Rewrite my old CV,4 weeks ago,$47,69,https://www.peopleperhour.com/freelance-jobs/admin/other/rewrite-my-old-cv-2729389
I need to get professional pictures done,4 weeks ago,$28/hr,10,https://www.peopleperhour.com/freelance-jobs/mobile/android-app/i-need-to-get-professional-pictures-done-2730161
Press release and distribution,2 weeks ago,$150,11,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-media-relations/press-release-and-distribution-2746787
Need program to send sms via gsm modem from my website,3 weeks ago,$10/hr,8,https://www.peopleperhour.com/freelance-jobs/software-development/other/need-program-to-send-sms-via-gsm-modem-from-my-website-2740866
Help with the application approval process in Pinterest,1 week ago,$100,3,https://www.peopleperhour.com/freelance-jobs/social-media/other/help-with-the-application-approval-process-in-pinterest-2752157
Data Mining Analysis Report,2 days ago,$119,22,https://www.peopleperhour.com/freelance-jobs/writing/report-writing/data-mining-analysis-report-2760288
Wordpress content editor,3 weeks ago,$8/hr,18,https://www.peopleperhour.com/freelance-jobs/writing/editing-proofreading/wordpress-content-editor-2736993
Promotional Video for Social Media (ignore budget please read),2 weeks ago,$119,53,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/promotional-videos/promotional-video-for-social-media-ignore-budget-please-rea-2744560
Get a resume done,3 weeks ago,$$,14,https://www.peopleperhour.com/freelance-jobs/business-support/business-development/get-a-resume-done-2733336
Looking For Content/Blog Writer,3 weeks ago,$120,39,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/looking-for-content-blog-writer-2739255
I need a brochure site with an insight page that I can update,4 weeks ago,$1.0k,35,https://www.peopleperhour.com/freelance-jobs/web-development/custom-website/i-need-a-brochure-site-with-an-insight-page-that-i-can-updat-2730031
Guest Post Need on Sports Betting/Casino/Gambling  Websites...,2 weeks ago,$1.0k,17,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-releases/guest-post-need-on-sports-betting-casino-gambling-websites-2741885
I need to display different text based on the page contents,3 days ago,$237,14,https://www.peopleperhour.com/freelance-jobs/web-development/other/i-need-to-display-different-text-based-on-the-page-contents-2759098
"Ppc, IG & LinkedIn campaign management",2 weeks ago,$125,19,https://www.peopleperhour.com/freelance-jobs/search-marketing/other/ppc-ig-linkedin-campaign-management-2746436
Guest Post on Jpost and BusinessInsider Only,1 week ago,$600,15,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/guest-post-on-jpost-and-businessinsider-only-2751233
Setup Google Ads and Bing Ads - PPC Search Campaigns,2 weeks ago,$31/hr,4,https://www.peopleperhour.com/freelance-jobs/search-marketing/google-adwords/setup-google-ads-and-bing-ads-ppc-search-campaigns-2746275
Virtual assistant for social media engagement + scheduling,20 hours ago,$30,24,https://www.peopleperhour.com/freelance-jobs/admin/virtual-assistance/virtual-assistant-for-social-media-engagement-scheduling-2761613
Press and distribution  for Electrician service site,2 weeks ago,$59,10,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-releases/press-and-distribution-for-electrician-service-site-2741932
Photo portrait background created then applied to 30+ photos,3 weeks ago,$125,57,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/photo-retouching-editing/photo-portrait-background-created-then-applied-to-30-photos-2733309
Animation video doe MLM compnay,4 weeks ago,$80,15,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/promotional-videos/animation-video-doe-mlm-compnay-2731646
I need a content writer and proofreader,2 weeks ago,$20/hr,40,https://www.peopleperhour.com/freelance-jobs/writing/website-content/i-need-a-content-writer-and-proofreader-2746166
I need Photography Content Writer,4 weeks ago,$865,19,https://www.peopleperhour.com/freelance-jobs/writing/e-book/i-need-photography-content-writer-2726323
Guest Posting with High Authority Back links,2 weeks ago,$237,13,https://www.peopleperhour.com/freelance-jobs/search-marketing/link-building/guest-posting-with-high-authority-back-links-2747499
Article about Dieting and Weight loss,2 weeks ago,$25,46,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/article-about-dieting-and-weight-loss-2744489
Content Writers For Lots of Different Topics Needed,6 days ago,$27/hr,50,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/content-writers-for-lots-of-different-topics-needed-2755517
Write a 250 word SEO optimised blog on essential oils,4 weeks ago,$36,50,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/write-a-250-word-seo-optimised-blog-on-essential-oils-2725435
I need some articles for my blog,3 weeks ago,$100,74,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/i-need-some-articles-for-my-blog-2739293
"3 Articles of Content for a blog, and Traffic Generation Impetus",9 hours ago,$130,11,https://www.peopleperhour.com/freelance-jobs/writing/website-content/3-articles-of-content-for-a-blog-and-traffic-generation-imp-2761835
PR Expert Needed for Bikers Social Media Platform,3 days ago,$300,10,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-media-relations/pr-expert-needed-for-bikers-social-media-platform-2759112
4 Reports in the Keto Niche,3 days ago,$200,19,https://www.peopleperhour.com/freelance-jobs/writing/report-writing/4-reports-in-the-keto-niche-2759047
Long term Blogger in Parentings / Budget niche,2 weeks ago,$22/hr,27,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/long-term-blogger-in-parentings-budget-niche-2748140
Crowdfunding creator,3 weeks ago,$107,6,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/crowdfunding-creator-2735834
Tech blog is looking for a remote reporter / journalist,2 weeks ago,$250,13,https://www.peopleperhour.com/freelance-jobs/writing/report-writing/tech-blog-is-looking-for-a-remote-reporter-journalist-2746556
Professional written appeal required for a false DMC violation.,2 weeks ago,$12,6,https://www.peopleperhour.com/freelance-jobs/writing/other/professional-written-appeal-required-for-a-false-dmc-violati-2742613
Theatre Set Designs / Model Boxes,4 days ago,$119,14,https://www.peopleperhour.com/freelance-jobs/creative-arts/other/theatre-set-designs-model-boxes-2757896
Urgent: Poker game review article in Japanese,6 days ago,$30,3,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/urgent-poker-game-review-article-in-japanese-2755645
Copywriting for a luxury watch accessories brand,2 weeks ago,$$,36,https://www.peopleperhour.com/freelance-jobs/writing/product-description-review/copywriting-for-a-luxury-watch-accessories-brand-2741453
I need illustrations for my children's book,2 weeks ago,$119,42,https://www.peopleperhour.com/freelance-jobs/design/book-magazine/i-need-illustrations-for-my-children-s-book-2743729
Research and prepare a full feasibility study application,1 day ago,$593,7,https://www.peopleperhour.com/freelance-jobs/writing/technical-writing/research-and-prepare-a-full-feasibility-study-application-2760838
Translate and build a German website from the English version,3 weeks ago,$183,19,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/translate-and-build-a-german-website-from-the-english-versio-2740464
